param_name,  val,  min,  max
a1_0, 45.8498, 9.1700, 1000
a1_1, 0.0239, 0.0, 10
b1_0, 0.0144, 0.0, 10
b1_1, 0.0885, 0.0177, 0.4424
a2_0, 19.8084, 3.9617, 400
a2_1, 0.0222, 0.0, 0.1109
b2_0, 0.5650, 0.1130, 10
b2_1, 0.0611, 0.0122, 0.3054
a3_0, 71.8119, 0.0, 359.0595
a3_1, 0.0659, 0.0132, 0.3297
b3_0, 0.7531, 0.1506, 10
b3_1, 0.0365, 0.0, 0.1824
bh_0, 2.8301, 0.0, 14.1507
bh_1, 0.2890, 0.0578, 1.4450
bh_2, 0.0696, 0.0139, 0.3480
ah_0, 0.5758, 0.1152, 10
ah_1, 163.0000, 0.1, 815.0000
ah_2, 0.0268, 0.0054, 0.1340
vShift, 10, -30, 30
vShift_inact, 10, -30, 30
maxrate, 8000, 1600, 40000
ahfactor, 1, 0.2, 5
bhfactor, 1, 0.2, 10
